jitter1,jitter2,TotalTrialTime,,,jitter 1,,,jitter2,
4200,3400,17600,,4.200042009,4200,0,3.400007963,3400,0
3000,2500,15500,,3.000103951,3000,0,2.50001502,2500,0
6000,2000,18000,,6.000108957,6000,0,2.00000596,2000,0
6000,3000,19000,,6.000063896,6000,0,3.00001502,3000,0
4200,2000,16200,,4.20004797,4200,0,2.000016928,2000,0
3400,2500,15900,,3.400115967,3400,0,2.500016928,2500,0
3400,2000,15400,,3.400074959,3400,0,2.000015974,2000,0
6000,2500,18500,,6.000043869,6000,0,2.500007868,2500,0
3000,4200,17200,,3.000046015,3000,0,4.200005055,4200,0
4200,3000,17200,,4.200099945,4200,0,3.000013828,3000,0
3400,2000,15400,,3.40004611,3400,0,2.000007868,2000,0
6000,2500,18500,,6.00003314,6000,0,2.500013113,2500,0
4200,3400,17600,,4.200088024,4200,0,3.400008917,3400,0
3000,2500,15500,,3.000068903,3000,0,2.50001502,2500,0
6000,2000,18000,,6.000070095,6000,0,2.000016928,2000,0
6000,3000,19000,,6.000086069,6000,0,3.000017881,3000,0
4200,2000,16200,,4.200102806,4200,0,2.000015974,2000,0
3400,2500,15900,B,3.400043011,3400,0,2.500005007,2500,0
3400,2000,15400,C,3.400068045,3400,0,2.000005961,2000,0
6000,2500,18500,,6.000020027,6000,0,2.500006914,2500,0
3000,4200,17200,,3.000094891,3000,0,4.200016022,4200,0
4200,3000,17200,,4.200110912,4200,0,3.000008106,3000,0
3400,2000,15400,,3.400089025,3400,0,2.000006914,2000,0
6000,2500,18500,,6.000030994,6000,0,2.500010967,2500,0
4200,3400,17600,,4.200068951,4200,0,3.40000701,3400,0
3000,2500,15500,,3.000048876,3000,0,2.500010014,2500,0
6000,2000,18000,,6.000061035,6000,0,2.000005961,2000,0
6000,3000,19000,,6.000030041,6000,0,3.000019074,3000,0
4200,2000,16200,,4.200088024,4200,0,2.000016928,2000,0
3400,2500,15900,,3.400022984,3400,0,2.500010967,2500,0
3400,2000,15400,,3.400017023,3400,0,2.000015974,2000,0
6000,2500,18500,,6.000112057,6000,0,2.297971964,2298,-202
3000,4200,17200,,3.000032902,3000,0,4.200007916,4200,0
4200,3000,17200,,4.200015068,4200,0,3.00001502,3000,0
3400,2000,15400,,3.400110006,3400,0,2.000011921,2000,0
6000,2500,18500,,6.000093937,6000,0,2.50001502,2500,0
4200,3400,17600,,4.200093031,4200,0,3.40000701,3400,0
3000,2500,15500,,3.000039816,3000,0,2.500010014,2500,0
6000,2000,18000,,6.000056982,6000,0,2.000006914,2000,0
6000,3000,19000,,6.000061035,6000,0,3.000017881,3000,0
4200,2000,16200,,4.200113058,4200,0,2.000010014,2000,0
3400,2500,15900,C,3.400118113,3400,0,2.50000906,2500,0
3400,2000,15400,D,3.400096893,3400,0,2.000013828,2000,0
6000,2500,18500,,6.000028849,6000,0,2.500016928,2500,0
3000,4200,17200,,3.000039816,3000,0,4.2000072,4200,0
4200,3000,17200,,4.200080156,4200,0,3.000005007,3000,0
3400,2000,15400,,3.400012016,3400,0,2.00000596,2000,0
6000,2500,18500,,6.000066996,6000,0,2.500005007,2500,0
4200,3400,17600,,4.200094938,4200,0,3.400014877,3400,0
3000,2500,15500,,3.000041962,3000,0,2.31719923,2317,-183
6000,2000,18000,,6.000037909,6000,0,2.000007153,2000,0
6000,3000,19000,,6.000055075,6000,0,3.000016928,3000,0
4200,2000,16200,,4.200050831,4200,0,2.000010967,2000,0
3400,2500,15900,,3.400094032,3400,0,2.500017166,2500,0
3400,2000,15400,,3.400064945,3400,0,2.000012875,2000,0
6000,2500,18500,,6.000065088,6000,0,2.500008822,2500,0
3000,4200,17200,,3.000115156,3000,0,4.200016975,4200,0
4200,3000,17200,,4.200097084,4200,0,3.000012159,3000,0
3400,2000,15400,,3.400017023,3400,0,2.000016213,2000,0
6000,2500,18500,,6.000068903,6000,0,2.500014067,2500,0
4200,3400,17600,,4.200083017,4200,0,3.40001297,3400,0
3000,2500,15500,,3.000019073,3000,0,2.500007868,2500,0
6000,2000,18000,,6.000072002,6000,0,2.000010014,2000,0
6000,3000,19000,,6.000047922,6000,0,3.000007153,3000,0
4200,2000,16200,,4.200070858,4200,0,2.00000906,2000,0
3400,2500,15900,,3.400063038,3400,0,2.50000906,2500,0
