Prime,Target,Type,Condition,ITI,TotalTrialTime
C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_239.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_065.jpg,neg_neg,3,3.273662333,5.473662333
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_053.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_006.jpg,pos_neut,4,3.995884556,6.195884556
C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_252.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_025.jpg,neg_neg,3,4.662551222,6.862551222
C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_082.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_260.jpg,neg_pos,6,2.757789317,4.957789317
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_133.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_205.jpg,pos_pos,2,3.995884556,6.195884556
C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_094.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_093.jpg,neut_neg,5,3.384773444,5.584773444
C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_212.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_240.jpg,neut_neut,1,2.440329,4.640329
C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_393.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_215.jpg,neut_pos,4,5.773662333,7.973662333
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_104.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_213.jpg,pos_neg,6,2.726043286,4.926043286
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_096.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_106.jpg,pos_neut,4,3.273662333,5.473662333
C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_070.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_178.jpg,neut_neut,1,4.440329,6.640329
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_232.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_187.jpg,pos_neg,6,3.162551222,5.362551222
C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_129.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_175.jpg,neut_neg,5,2.884773444,5.084773444
C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_201.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_268.jpg,neg_neg,3,4.440329,6.640329
C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_002.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_119.jpg,neg_pos,6,3.106995667,5.306995667
C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_058.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_428.jpg,neut_neut,1,3.699588259,5.899588259
C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_153.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_183.jpg,neg_neg,3,3.062551222,5.262551222
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_043.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_111.jpg,pos_pos,2,3.551440111,5.751440111
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_241.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_091.jpg,pos_neut,4,3.218106778,5.418106778
C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_291.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_296.jpg,neg_neut,5,4.884773444,7.084773444
C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_144.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_250.jpg,neg_neg,3,3.773662333,5.973662333
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_056.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_239.jpg,pos_pos,2,2.853027413,5.053027413
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_217.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_067.jpg,pos_pos,2,4.218106778,6.418106778
C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_164.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_182.jpg,neut_pos,4,2.884773444,5.084773444
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_130.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_131.jpg,pos_neg,6,3.551440111,5.751440111
C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_177.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_249.jpg,neg_neg,3,3.884773444,6.084773444
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_102.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_224.jpg,pos_neut,4,2.634773444,4.834773444
C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_264.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_160.jpg,neg_neut,5,4.106995667,6.306995667
C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_141.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_184.jpg,neg_pos,6,2.694297254,4.894297254
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_235.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_087.jpg,pos_pos,2,2.662551222,4.862551222
C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_104.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_102.jpg,neut_neut,1,3.773662333,5.973662333
C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_376.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_076.jpg,neut_neg,5,3.329217889,5.529217889
C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_207.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_185.jpg,neg_pos,6,3.018106778,5.218106778
C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_265.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_380.jpg,neg_neut,5,2.579217889,4.779217889
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_054.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_043.jpg,pos_neg,6,5.106995667,7.306995667
C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_127.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_112.jpg,neut_pos,4,2.821281381,5.021281381
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_131.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_163.jpg,pos_pos,2,5.551440111,7.751440111
C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_377.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_115.jpg,neut_neg,5,2.495884556,4.695884556
C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_062.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_074.jpg,neg_neg,3,5.329217889,7.529217889
C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_422.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_258.jpg,neut_neut,1,2.523662333,4.723662333
C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_080.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_356.jpg,neg_neut,5,3.440329,5.640329
C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_197.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_287.jpg,neg_neg,3,2.929217889,5.129217889
C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_251.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_238.jpg,neut_neg,5,3.106995667,5.306995667
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_101.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_122.jpg,pos_pos,2,4.662551222,6.862551222
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_159.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_233.jpg,pos_neut,4,2.468106778,4.668106778
C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_271.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_014.jpg,neg_neg,3,2.551440111,4.751440111
C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_084.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_199.jpg,neg_neg,3,2.973662333,5.173662333
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_125.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_426.jpg,pos_neut,4,2.606995667,4.806995667
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_007.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_080.jpg,pos_pos,2,4.218106778,6.418106778
C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_030.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_179.jpg,neg_pos,6,3.495884556,5.695884556
C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_302.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_163.jpg,neut_neut,1,3.625514185,5.825514185
C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_109.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_252.jpg,neut_pos,4,4.884773444,7.084773444
C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_389.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_357.jpg,neut_neut,1,3.329217889,5.529217889
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_049.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_210.jpg,pos_pos,2,2.789535349,4.989535349
C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_022.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_150.jpg,neut_neut,1,2.662551222,4.862551222
C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_304.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_169.jpg,neut_neut,1,3.995884556,6.195884556
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_081.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_221.jpg,pos_pos,2,5.106995667,7.306995667
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_140.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_037.jpg,pos_pos,2,5.551440111,7.751440111
C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_345.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_355.jpg,neut_neut,1,3.329217889,5.529217889
C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_381.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_100.jpg,neut_pos,4,3.218106778,5.418106778
C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_232.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_185.jpg,neg_neg,3,2.757789317,4.957789317
C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_370.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_013.jpg,neut_neut,1,4.218106778,6.418106778
C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_100.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_405.jpg,neut_neut,1,2.662551222,4.862551222
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_258.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_246.jpg,pos_neg,6,3.995884556,6.195884556
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_062.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_031.jpg,pos_pos,2,2.579217889,4.779217889
C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_227.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_009.jpg,neg_neg,3,2.634773444,4.834773444
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_127.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_136.jpg,pos_pos,2,3.162551222,5.362551222
C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_281.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_379.jpg,neg_neut,5,3.495884556,5.695884556
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_086.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_284.jpg,pos_neut,4,3.273662333,5.473662333
C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_006.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_021.jpg,neg_neg,3,5.773662333,7.973662333
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_132.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_019.jpg,pos_neut,4,3.440329,5.640329
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_129.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_136.jpg,pos_neg,6,4.440329,6.640329
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_161.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_042.jpg,pos_pos,2,3.106995667,5.306995667
C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_416.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_066.jpg,neut_neut,1,3.699588259,5.899588259
C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_288.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_382.jpg,neut_neut,1,4.884773444,7.084773444
C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_071.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_157.jpg,neg_pos,6,2.726043286,4.926043286
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_201.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_075.jpg,pos_neut,4,4.440329,6.640329
C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_126.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_041.jpg,neut_neg,5,4.218106778,6.418106778
